match_id,player,opponent,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,unforced,serve_gap,match_date,start_time,gender,competition,level,surface,round,player_id,opponent_id,won,winning_reason
20250821-men-ATP_Winston_Salem__USA_Men_Singles-quarterfinal-Jaume_Munar-Marton_Fucsovics,Marton Fucsovics,Jaume Munar,Total,52.0,2.0,1.0,35.0,27.0,17.0,5.0,4.0,1.0,63.0,32.0,,,0.0,20250821,2025-08-21 20:00:00+00:00,men,"ATP Winston Salem, USA Men Singles",atp_250,,quarterfinal,sr:competitor:47770,sr:competitor:126356,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Shintaro_Mochizuki-Roman_Andres_Burruchaga,Shintaro Mochizuki,Roman Andres Burruchaga,Total,72.0,2.0,3.0,37.0,22.0,35.0,17.0,5.0,0.0,87.0,38.0,,,0.0,20250821,2025-08-21 20:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:503814,sr:competitor:443702,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Shintaro_Mochizuki-Roman_Andres_Burruchaga,Roman Andres Burruchaga,Shintaro Mochizuki,Total,87.0,0.0,2.0,56.0,36.0,31.0,13.0,9.0,4.0,72.0,33.0,,,0.0,20250821,2025-08-21 20:05:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:443702,sr:competitor:503814,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Claire_Liu-Maddison_Inglis,Claire Liu,Maddison Inglis,Total,67.0,6.0,4.0,50.0,37.0,18.0,8.0,8.0,6.0,62.0,27.0,,,1.0,20250821,2025-08-21 20:15:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:179300,sr:competitor:99405,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Claire_Liu-Maddison_Inglis,Maddison Inglis,Claire Liu,Total,62.0,2.0,5.0,36.0,22.0,27.0,13.0,9.0,5.0,67.0,22.0,,,1.0,20250821,2025-08-21 20:15:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:99405,sr:competitor:179300,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Daniel_Merida-Titouan_Droguet,Daniel Merida,Titouan Droguet,Total,81.0,1.0,3.0,55.0,43.0,26.0,15.0,2.0,1.0,99.0,37.0,,,0.0,20250821,2025-08-21 20:15:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:673479,sr:competitor:309954,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Daniel_Merida-Titouan_Droguet,Titouan Droguet,Daniel Merida,Total,99.0,6.0,3.0,50.0,35.0,49.0,27.0,5.0,3.0,81.0,23.0,,,0.0,20250821,2025-08-21 20:15:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:309954,sr:competitor:673479,False,
20250821-women-WTA_Cleveland__USA_Women_Singles-round_of_16-Katie_Boulter-Viktorija_Golubic,Katie Boulter,Viktorija Golubic,Total,95.0,2.0,6.0,55.0,32.0,40.0,16.0,13.0,7.0,92.0,47.0,,,0.0,20250821,2025-08-21 20:20:06+00:00,women,"WTA Cleveland, USA Women Singles",wta_250,,round_of_16,sr:competitor:62924,sr:competitor:48455,False,
20250821-women-WTA_Cleveland__USA_Women_Singles-round_of_16-Katie_Boulter-Viktorija_Golubic,Viktorija Golubic,Katie Boulter,Total,92.0,1.0,4.0,66.0,38.0,26.0,7.0,10.0,2.0,95.0,47.0,,,0.0,20250821,2025-08-21 20:20:06+00:00,women,"WTA Cleveland, USA Women Singles",wta_250,,round_of_16,sr:competitor:48455,sr:competitor:62924,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Cadence_Brace-Veronika_Erjavec,Cadence Brace,Veronika Erjavec,Total,66.0,1.0,2.0,44.0,26.0,22.0,14.0,9.0,6.0,75.0,28.0,,,0.0,20250821,2025-08-21 20:25:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:751899,sr:competitor:369524,False,
